Lot,LotID,HorseID,HorseUUID,Name,horseGender,yob,cob,colour,SireID,SireUUID,sireName,Stallion Match Rating,lotPedigreeStrength,lotSpeedPct,lotClassicPct,lotStaminaPct,lotDI,lotCI,vendorName,vendorLotsOffered_5y,vendorLotsSold_5y,vendorStakesWinners_5y,vendorWinners_5y,damUrl,stallionName,stallionFarm,stallionFee,matingMatchRating,matingPedigreeStrength,matingSpeedPct,matingClassicPct,matingStaminaPct,matingDI,matingCI,stallionSearchUrl
696,832652,1129211,0F7B8F9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Vagrant,Mare,2019,AUS,Chestnut,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,28.8,41.38,48.28,10.34,1.9,0.552,Yarraman Park Stud,483,461,12,204,https://stallionmatch.com/race-horse/Vagrant/0F7B8F9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,65.4,66.67,29.17,4.17,4.333,1.042,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=0F7B8F9F-6BCC-EE11-8DC2-E8D8D1C4DF34
697,832653,847575,E0DD719F-6BCC-EE11-8DC2-E8D8D1C4DF34,Van Giz,Mare,2016,AUS,Brown,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,NORMAL MATCH,31.1,75,25,0,7,1.083,Twin Hills Stud,401,313,3,109,https://stallionmatch.com/race-horse/Van%20Giz/E0DD719F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",NORMAL MATCH,37.7,86.96,13.04,0,14.333,1.348,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=E0DD719F-6BCC-EE11-8DC2-E8D8D1C4DF34
698,832654,612930,A0EB5D9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Vitesse,Mare,2015,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,77.4,53.57,42.86,3.57,3,0.964,Chris Waller Racing,0,0,0,0,https://stallionmatch.com/race-horse/Vitesse/A0EB5D9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,28,75,25,0,7,1.292,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=A0EB5D9F-6BCC-EE11-8DC2-E8D8D1C4DF34
699,832655,628813,433F609F-6BCC-EE11-8DC2-E8D8D1C4DF34,Vivi Valentina,Mare,2015,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,86.5,77.78,22.22,0,8,1.519,Emirates Park,165,147,5,61,https://stallionmatch.com/race-horse/Vivi%20Valentina/433F609F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,22.6,91.3,8.7,0,22,1.652,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=433F609F-6BCC-EE11-8DC2-E8D8D1C4DF34
700,832656,947883,DE7E7C9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Viviane,Mare,2018,AUS,Chestnut,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,67.7,84,16,0,11.5,1.44,Newington Farm Premium Consignment,0,0,0,0,https://stallionmatch.com/race-horse/Viviane/DE7E7C9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,31.5,91.3,8.7,0,22,1.522,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=DE7E7C9F-6BCC-EE11-8DC2-E8D8D1C4DF34
701,832657,1002216,3807829F-6BCC-EE11-8DC2-E8D8D1C4DF34,Von Trapp,Mare,2018,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,PERFECT MATCH,97.9,89.66,10.34,0,18.333,1.241,Twin Hills Stud,401,313,3,109,https://stallionmatch.com/race-horse/Von%20Trapp/3807829F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",NORMAL MATCH,40.8,95.65,4.35,0,45,1.435,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=3807829F-6BCC-EE11-8DC2-E8D8D1C4DF34
702,832658,629751,A542609F-6BCC-EE11-8DC2-E8D8D1C4DF34,Waruna,Mare,2014,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,60.6,12.9,41.94,45.16,0.512,-0.581,Kia Ora Stud,170,141,6,67,https://stallionmatch.com/race-horse/Waruna/A542609F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,45,45.83,25,29.17,1.4,0.25,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=A542609F-6BCC-EE11-8DC2-E8D8D1C4DF34
703,832659,947465,487D7C9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Wecansay Dun,Mare,2019,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,69,27.59,44.83,27.59,1,0,Newington Farm Premium Consignment,0,0,0,0,https://stallionmatch.com/race-horse/Wecansay%20Dun/487D7C9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",NORMAL MATCH,75,62.5,20.83,16.67,2.692,0.75,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=487D7C9F-6BCC-EE11-8DC2-E8D8D1C4DF34
704,832660,635300,0A56609F-6BCC-EE11-8DC2-E8D8D1C4DF34,Weekend Saga,Mare,2014,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,NORMAL MATCH,6.9,28.57,47.62,23.81,1.1,0.143,Eureka Stud,457,398,9,163,https://stallionmatch.com/race-horse/Weekend%20Saga/0A56609F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,66,66.67,23.81,9.52,3.667,0.952,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=0A56609F-6BCC-EE11-8DC2-E8D8D1C4DF34
705,832661,999513,C1FC819F-6BCC-EE11-8DC2-E8D8D1C4DF34,Well Dun Sun,Mare,2017,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,18,17.86,39.29,42.86,0.6,-0.286,Twin Hills Stud,401,313,3,109,https://stallionmatch.com/race-horse/Well%20Dun%20Sun/C1FC819F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",NORMAL MATCH,29.5,54.17,20.83,25,1.824,0.542,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=C1FC819F-6BCC-EE11-8DC2-E8D8D1C4DF34
706,832662,1445425,EBBBAF9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Wild Mercy,Mare,2018,AUS,Bay Brown,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,2.5,42.86,25,32.14,1.24,0.321,Berkeley Park Stud,84,64,0,22,https://stallionmatch.com/race-horse/Wild%20Mercy/EBBBAF9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,40,65.22,17.39,17.39,2.833,0.87,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=EBBBAF9F-6BCC-EE11-8DC2-E8D8D1C4DF34
707,832663,1437229,F6B1AE9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Wild Tempest,Mare,2021,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,PERFECT MATCH,67.8,20.69,37.93,41.38,0.657,-0.069,Widden Stud,1231,1065,31,401,https://stallionmatch.com/race-horse/Wild%20Tempest/F6B1AE9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,75,56.52,17.39,26.09,1.875,0.652,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=F6B1AE9F-6BCC-EE11-8DC2-E8D8D1C4DF34
708,832664,774921,F6886E9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Winning Shot,Mare,2016,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,9.8,40,56.67,3.33,2.158,0.767,Kenmore Lodge,406,371,4,151,https://stallionmatch.com/race-horse/Winning%20Shot/F6886E9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",NORMAL MATCH,29.5,70.83,29.17,0,5.857,1.25,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=F6886E9F-6BCC-EE11-8DC2-E8D8D1C4DF34
709,832665,916703,C65C799F-6BCC-EE11-8DC2-E8D8D1C4DF34,Winter Violet,Mare,2018,AUS,Grey,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,NORMAL MATCH,86.2,38.46,42.31,19.23,1.476,0.538,Kia Ora Stud,170,141,6,67,https://stallionmatch.com/race-horse/Winter%20Violet/C65C799F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,38,65.22,26.09,8.7,3.6,1.043,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=C65C799F-6BCC-EE11-8DC2-E8D8D1C4DF34
